"","mes_ano","pais","valor"
"2251",2020-01-01,"Hong Kong SAR",2536768
"2252",2020-02-01,"Hong Kong SAR",98804
"2253",2020-03-01,"Hong Kong SAR",30370
"2254",2020-04-01,"Hong Kong SAR",2947
"2255",2020-05-01,"Hong Kong SAR",5670
"2256",2020-06-01,"Hong Kong SAR",6682
"2257",2020-07-01,"Hong Kong SAR",5735
"2258",2020-08-01,"Hong Kong SAR",2337
"2259",2020-09-01,"Hong Kong SAR",6226
"2260",2020-10-01,"Hong Kong SAR",4855
"2261",2020-11-01,"Hong Kong SAR",3571
"2262",2020-12-01,"Hong Kong SAR",2433
"2263",2021-01-01,"Hong Kong SAR",2877
"2264",2021-02-01,"Hong Kong SAR",3802
"2265",2021-03-01,"Hong Kong SAR",4918
"2266",2021-04-01,"Hong Kong SAR",4118
"2267",2021-05-01,"Hong Kong SAR",3897
"2268",2021-06-01,"Hong Kong SAR",4651
"2269",2021-07-01,"Hong Kong SAR",6304
"2270",2021-08-01,"Hong Kong SAR",8529
"2271",2021-09-01,"Hong Kong SAR",6960
"2272",2021-10-01,"Hong Kong SAR",6699
"2273",2021-11-01,"Hong Kong SAR",6464
"2274",2021-12-01,"Hong Kong SAR",6502
"2275",2022-01-01,"Hong Kong SAR",5792
"2276",2022-02-01,"Hong Kong SAR",1809
"2277",2022-03-01,"Hong Kong SAR",997
"2278",2022-04-01,"Hong Kong SAR",3608
"2279",2022-05-01,"Hong Kong SAR",14403
"2280",2022-06-01,"Hong Kong SAR",35348
"2281",2022-07-01,"Hong Kong SAR",40083
"2282",2022-08-01,"Hong Kong SAR",48269
"2283",2022-09-01,"Hong Kong SAR",51276
"2284",2022-10-01,"Hong Kong SAR",47607
"2285",2022-11-01,"Hong Kong SAR",58694
"2286",2022-12-01,"Hong Kong SAR",67244
"2287",2023-01-01,"Hong Kong SAR",280525
"2288",2023-02-01,"Hong Kong SAR",48275
"2289",2013-01-01,"Indonesia",53203
"2290",2013-02-01,"Indonesia",87018
"2291",2013-03-01,"Indonesia",54359
"2292",2013-04-01,"Indonesia",54110
"2293",2013-05-01,"Indonesia",52632
"2294",2013-06-01,"Indonesia",62669
"2295",2013-07-01,"Indonesia",71815
"2296",2013-08-01,"Indonesia",70006
"2297",2013-09-01,"Indonesia",69392
"2298",2013-10-01,"Indonesia",58717
"2299",2013-11-01,"Indonesia",61763
"2300",2013-12-01,"Indonesia",52237
"2301",2014-01-01,"Indonesia",88583
"2302",2014-02-01,"Indonesia",96794
"2303",2014-03-01,"Indonesia",71927
"2304",2014-04-01,"Indonesia",67030
"2305",2014-05-01,"Indonesia",55581
"2306",2014-06-01,"Indonesia",71887
"2307",2014-07-01,"Indonesia",97131
"2308",2014-08-01,"Indonesia",96550
"2309",2014-09-01,"Indonesia",82519
"2310",2014-10-01,"Indonesia",85640
"2311",2014-11-01,"Indonesia",70083
"2312",2014-12-01,"Indonesia",75506
"2313",2015-01-01,"Indonesia",80842
"2314",2015-02-01,"Indonesia",137181
"2315",2015-03-01,"Indonesia",82687
"2316",2015-04-01,"Indonesia",79000
"2317",2015-05-01,"Indonesia",70803
"2318",2015-06-01,"Indonesia",91038
"2319",2015-07-01,"Indonesia",117139
"2320",2015-08-01,"Indonesia",120658
"2321",2015-09-01,"Indonesia",94549
"2322",2015-10-01,"Indonesia",93091
"2323",2015-11-01,"Indonesia",77353
"2324",2015-12-01,"Indonesia",76725
"2325",2016-01-01,"Indonesia",108563
"2326",2016-02-01,"Indonesia",159371
"2327",2016-03-01,"Indonesia",97014
"2328",2016-04-01,"Indonesia",103744
"2329",2016-05-01,"Indonesia",105207
"2330",2016-06-01,"Indonesia",111175
"2331",2016-07-01,"Indonesia",146504
"2332",2016-08-01,"Indonesia",148616
"2333",2016-09-01,"Indonesia",123309
"2334",2016-10-01,"Indonesia",117919
"2335",2016-11-01,"Indonesia",119338
"2336",2016-12-01,"Indonesia",112211
"2337",2017-01-01,"Indonesia",206939
"2338",2017-02-01,"Indonesia",199440
"2339",2017-03-01,"Indonesia",147016
"2340",2017-04-01,"Indonesia",158147
"2341",2017-05-01,"Indonesia",157335
"2342",2017-06-01,"Indonesia",156452
"2343",2017-07-01,"Indonesia",213447
"2344",2017-08-01,"Indonesia",219705
"2345",2017-09-01,"Indonesia",178813
"2346",2017-10-01,"Indonesia",162376
"2347",2017-11-01,"Indonesia",136770
"2348",2017-12-01,"Indonesia",64325
"2349",2018-01-01,"Indonesia",101961
